H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
124.99832,370.21075,1.77682,335.38892,1.77682,34.821857,167.32841,-24.894293,43.50008,-28.241568,75.19473,1,93.7492,1.1996098,1.8153766,3.6301486,-1,1,47.869114,1.0087422,-1.75217,13.644974,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.9993,133.904,1.77682,56.359066,1.77682,77.544945,38.10026,22.200546,-42.678722,-0.08584705,-22.694698,1,25.668856,0.71684176,-1.5184233,0.94362926,-1,1,86.971245,-0.06524832,1.936866,3.2031336,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99386,755.0969,1.77682,376.58182,1.77682,378.51514,2.5963166,9.160187,1.9491467,5.5273247,-5.9092774,1,44.600372,2.5072708,-0.8411594,1.0348961,-1,1,60.44577,2.4451165,2.3727024,2.9969015,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00003,145.2565,1.77682,92.263336,1.77682,52.993168,8.682994,25.894371,-20.441029,35.89841,-23.262106,1,30.75274,-1.1176583,-0.52945083,5.277547,-1,1,51.398277,-0.029974064,2.7018921,0.1482812,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99865,296.99594,1.77682,41.89565,1.77682,255.1003,33.884117,8.349314,-19.944574,-4.658371,-7.5166306,1,37.100494,0.6246993,-1.9742212,5.2081904,-1,1,58.067173,1.9844223,1.2136275,2.4161358,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.004,153.65375,1.77682,41.58176,1.77682,112.07199,33.45473,-35.154827,29.504328,-7.3126698,11.35803,1,69.25277,-0.012749701,-1.2415998,13.420434,-1,2,52.21079,-1.0202765,2.0494251,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99144,766.812,1.77682,709.9406,1.77682,56.871387,35.939503,-14.341984,9.1023445,-1.323857,-5.004238,1,24.304903,-4.0786104,-1.9868768,2.170575,-1,1,31.889914,-1.019243,-0.12027057,5.0569987,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99483,295.3568,1.77682,38.95603,1.77682,256.4008,91.564316,42.85146,-47.3851,43.764843,-42.198486,3,10.676901,-0.15165147,0.246981,0.1056583755,-1,1,28.93952,-1.8249514,-1.2591496,0.6029694,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.08518,150.57228,1.77682,94.1344,1.77682,56.437878,79.63348,1.8915505,14.933433,-7.732909,3.8207877,1,92.6644,0.146477,0.5592188,2.770098,-1,1,35.166573,-0.88346606,2.671129,2.291164,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00291,910.9517,1.77682,144.46863,1.77682,766.4831,105.18805,61.74116,-14.780521,36.996742,0.8880023,1,28.09139,1.6661711,3.140482,3.8988695,-1,1,35.52109,2.942141,1.785456,2.2740445,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00634,267.1041,1.77682,46.635418,1.77682,220.46867,20.851381,22.056042,-3.30709,31.41687,-6.0685997,1,54.42285,-0.44414663,2.601284,5.635475,-1,1,23.196411,-2.0403485,-0.1925187,0.00056673936,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99996,201.28781,1.77682,89.01238,1.77682,112.27543,24.714083,-19.068516,-24.619848,-13.010535,-18.389427,3,32.844227,0.9105714,-2.0828938,0.1056583755,-1,1,66.165886,1.1687862,1.4433403,2.5451493,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99843,130.16245,1.77682,78.26127,1.77682,51.901176,15.192871,10.4712925,25.631449,6.685999,12.919918,1,46.58204,-0.645528,1.1894178,0.14848983,-1,1,68.86593,0.22357492,-1.8483456,0.96477425,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.000946,919.27716,1.77682,550.64935,1.77682,368.62787,44.903687,-6.1887846,8.280759,-21.875996,10.43749,1,34.72575,-2.6357417,2.0591207,2.6580322,-1,1,25.225105,-2.5802238,-1.73138,2.083262,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00185,503.40674,1.77682,114.05529,1.77682,389.35147,50.592686,-19.798597,-21.117905,-15.420855,-21.676416,1,54.18736,1.1660569,-2.1621482,11.595295,-1,1,24.567175,3.6830206,0.17248738,5.3947965e-06,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.996056,207.31653,1.77682,153.01978,1.77682,54.296745,150.97116,20.005135,-62.892097,11.002536,-70.69575,1,49.621006,0.7717063,-1.3759938,0.1477934,-1,1,50.05274,-0.67947143,-2.1609766,2.2742863,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00176,625.88446,1.77682,198.6058,1.77682,427.27863,2.177857,-11.294693,17.828743,-6.453509,11.275092,1,36.09335,1.8956861,2.1141317,1.6934786,-1,1,51.753345,2.718012,-0.99643445,1.6871263,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00344,181.60408,1.77682,83.95701,1.77682,97.64707,120.31023,-6.667566,-12.390169,-20.641188,19.848751,1,65.33675,-0.069145344,-2.5439072,0.49478608,-1,3,17.76359,0.7440784,2.3065233,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00096,849.1929,1.77682,321.8929,1.77682,527.3,23.802204,-15.373633,-14.465737,-1.4353836,-16.810032,1,26.96699,-2.2475824,-1.654053,0.15219964,-1,1,25.167189,-3.0796514,1.4294212,1.668719,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.95193,457.01825,1.77682,410.86917,1.77682,46.149075,31.829865,9.982857,1.2990233,11.408444,2.7473893,1,44.158867,2.7225716,-0.13672857,4.969163,-1,1,30.545881,0.8574791,2.6216424,1.0893741,-1,303.1640621297727,2.93050529468397,299.52846075415385
